n,nsamp,error
2048,8,0.00732421875
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0.00830078125
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
16,single linkage,0
16,single linkage,0
16,single linkage,0.25
16,single linkage,0.375
16,single linkage,0.25
16,single linkage,0.1875
16,single linkage,0.5
16,single linkage,0
16,single linkage,0.375
16,single linkage,0.25
16,single linkage,0.375
16,single linkage,0.5
16,single linkage,0.375
16,single linkage,0.3125
16,single linkage,0.125
16,single linkage,0.3125
16,single linkage,0
16,single linkage,0.1875
16,single linkage,0.1875
16,single linkage,0.1875
16,single linkage,0.4375
16,single linkage,0.4375
16,single linkage,0.375
16,single linkage,0.3125
16,single linkage,0.4375
16,single linkage,0
16,single linkage,0.3125
16,single linkage,0.3125
16,single linkage,0.1875
16,single linkage,0.375
16,single linkage,0.375
16,single linkage,0.25
16,single linkage,0.4375
16,single linkage,0.4375
16,single linkage,0.25
16,single linkage,0.0625
16,single linkage,0.4375
16,single linkage,0.1875
16,single linkage,0.375
16,single linkage,0.4375
16,single linkage,0.1875
16,single linkage,0.375
16,single linkage,0.0625
16,single linkage,0.375
16,single linkage,0.5
16,single linkage,0.1875
16,single linkage,0
16,single linkage,0.25
16,single linkage,0.375
16,single linkage,0.1875
32,single linkage,0.375
32,single linkage,0
32,single linkage,0.21875
32,single linkage,0
32,single linkage,0.4375
32,single linkage,0
32,single linkage,0.40625
32,single linkage,0.28125
32,single linkage,0.28125
32,single linkage,0.03125
32,single linkage,0.1875
32,single linkage,0.125
32,single linkage,0
32,single linkage,0.15625
32,single linkage,0
32,single linkage,0
32,single linkage,0.46875
32,single linkage,0.40625
32,single linkage,0.03125
32,single linkage,0.09375
32,single linkage,0.1875
32,single linkage,0.375
32,single linkage,0.40625
32,single linkage,0.375
32,single linkage,0
32,single linkage,0.40625
32,single linkage,0.4375
32,single linkage,0.34375
32,single linkage,0
32,single linkage,0.03125
32,single linkage,0.40625
32,single linkage,0
32,single linkage,0.03125
32,single linkage,0.15625
32,single linkage,0.3125
32,single linkage,0.09375
32,single linkage,0.4375
32,single linkage,0.375
32,single linkage,0.03125
32,single linkage,0.0625
32,single linkage,0.09375
32,single linkage,0.0625
32,single linkage,0
32,single linkage,0.3125
32,single linkage,0.25
32,single linkage,0.03125
32,single linkage,0.375
32,single linkage,0.03125
